Month;Currency Issued;Money Supply 1;Money Supply 2;Money Supply 3
2024-11;19431;144979;735477;858172
2024-10;19961;142223;733515;856911
2024-09;19309;144553;737371;861731
2024-08;19619;147762;730940;853969
2024-07;19765;150655;727412;847187
2024-06;20940;148397;732192;849419
2024-05;21078;149389;740168;858503
2024-04;21304;154612;735976;855365
2024-03;23135;153911;742383;856341
2024-02;20394;156765;747492;860198
2024-01;20123;146141;734883;846805
2023-12;19674;139251;722656;820660
2023-11;19740;140074;717445;812813
2023-10;19709;142680;721283;812690
2023-09;20408;145147;702188;789500
2023-08;20598;143496;685009;763627
2023-07;21872;149252;683766;761474
2023-06;23757;155853;699090;790894
2023-05;22444;154603;699178;792854
2023-04;26145;156985;696270;797917
2023-03;22951;160336;704618;802055
2023-02;23412;163435;701870;788741
2023-01;25335;156691;702830;786915
2022-12;25943;160752;714482;822669
2022-11;27512;161934;704214;787318
2022-10;24380;158001;697692;776858
2022-09;21112;157714;687686;777382
2022-08;23026;157912;678185;779365
2022-07;23299;160770;675152;766394
2022-06;23878;158978;675063;775698
2022-05;24468;160715;656505;754915
2022-04;27022;162230;638999;730575
2022-03;24155;161095;632923;724148
2022-02;23553;162280;630916;712305
2022-01;24525;153209;611944;702413
2021-12;24590;148319;608500;710849
2021-11;24499;150189;619254;700278
2021-10;23786;151458;611546;692906
2021-09;23733;149642;617404;706168
2021-08;23872;153989;603413;691051
2021-07;23727;170841;610206;692705
2021-06;24091;168068;617880;702983
2021-05;25189;165269;612103;698516
2021-04;24819;154823;597931;678091
2021-03;26290;154877;612417;693069
2021-02;26551;157403;598058;674772
2021-01;26615;155361;596569;674734
2020-12;26271;146459;599887;675143
2020-11;20292;147645;583097;661947
2020-10;20957;146779;583148;664547
2020-09;20426;146573;592342;674137
2020-08;20766;149452;579445;672234
2020-07;22764;153128;588142;682312
2020-06;22409;146702;598091;688493
2020-05;25592.6989;150441.5029;583393.4229;673151.4232
2020-04;25183.1209;148883.4879;584677.4089;692918.3199
2020-03;22631.2059;140179.1339;617107.4199;692968.6057
2020-02;17272;137310;593569;675430
2020-01;17481;129334;591800;670528
2019-12;16404;124703;578004;652876
2019-11;16289;127566;563350;639886
2019-10;16780;123440;559024;638457
2019-09;16019;125362;569854;646395
2019-08;16531;125033;551532;626174
2019-07;16976;126573;554033;629502
2019-06;17619;128518;559022;640319
2019-05;19664;129225;554911;631946
2019-04;17288;132971;557944;634761
2019-03;16934;130097;576079;682687
2019-02;17028;132436;572504;650956
2019-01;17026;123017;562328;640462
2018-12;16216;119076;564008;653181
2018-11;16547;121705;562467;641500
2018-10;16427;121449;571173;650611
2018-09;16150;123740;565602;660020
2018-08;16383;127243;581367;658683
2018-07;16450;128778;588142;667478
2018-06;17399;134440;586156;681717
2018-05;17769;132970;581155;659937
2018-04;16701;130320;585915;665691
2018-03;16970;135583;601673;687278
2018-02;16210;137133;598529;682233
2018-01;16345;128641;598866;679013
