Month;"القطريين الذكور
Qatari Male";"القطريين الإناث
Qatari Female";"غير القطريين الذكور
Non Qatari Male";"غير القطريين الإناث
Non Qatari Female"
2024-11;324.0;295.0;1013.0;936.0
2024-10;322.0;295.0;1114.0;1039.0
2024-09;371.0;307.0;1041.0;1024.0
2024-08;323.0;288.0;1059.0;945.0
2024-07;310.0;290.0;954.0;947.0
2024-06;295.0;292.0;947.0;900.0
2024-05;307.0;279.0;1001.0;1002.0
2024-04;318.0;287.0;993.0;898.0
2024-03;273.0;241.0;1041.0;944.0
2024-02;315.0;289.0;947.0;918.0
2024-01;297.0;297.0;976.0;944.0
2023-12;294.0;285.0;971.0;893.0
2023-11;308.0;313.0;995.0;904.0
2023-10;312.0;328.0;887.0;895.0
2023-09;298.0;263.0;875.0;786.0
2023-08;265.0;285.0;924.0;787.0
2023-07;300.0;269.0;810.0;832.0
2023-06;288.0;295.0;835.0;798.0
2023-05;306.0;300.0;941.0;834.0
2023-04;319.0;273.0;869.0;822.0
2023-03;256.0;260.0;809.0;814.0
2023-02;266.0;278.0;787.0;724.0
2023-01;283.0;293.0;899.0;786.0
2022-12;324.0;296.0;903.0;853.0
2022-11;310.0;335.0;897.0;894.0
2022-10;338.0;347.0;858.0;820.0
2022-09;283.0;287.0;848.0;834.0
2022-08;244.0;211.0;849.0;788.0
2022-07;252.0;235.0;763.0;783.0
2022-06;297.0;241.0;770.0;721.0
2022-05;263.0;254.0;760.0;788.0
2022-04;179.0;161.0;650.0;577.0
2022-03;227.0;200.0;707.0;654.0
2022-02;223.0;205.0;692.0;630.0
2022-01;214.0;204.0;659.0;686.0
2021-12;247.0;194.0;631.0;669.0
2021-11;267.0;230.0;766.0;695.0
2021-10;295.0;278.0;853.0;794.0
2021-09;291.0;253.0;776.0;706.0
2021-08;306.0;263.0;820.0;736.0
2021-07;269.0;211.0;761.0;651.0
2021-06;242.0;231.0;724.0;735.0
2021-05;262.0;231.0;719.0;728.0
2021-04;238.0;227.0;632.0;590.0
2021-03;229.0;219.0;706.0;635.0
2021-02;211.0;198.0;663.0;606.0
2021-01;246.0;247.0;738.0;703.0
2020-12;256.0;263.0;801.0;809.0
2020-11;238.0;231.0;937.0;899.0
2020-10;272.0;251.0;1007.0;879.0
2020-09;256.0;265.0;1105.0;974.0
2020-08;211.0;220.0;919.0;908.0
2020-07;210.0;205.0;865.0;872.0
2020-06;218.0;190.0;805.0;739.0
2020-05;142.0;148.0;586.0;494.0
2020-04;78.0;74.0;268.0;267.0
2020-03;138.0;115.0;444.0;419.0
2020-02;231.0;211.0;821.0;798.0
2020-01;257.0;261.0;882.0;805.0
2019-12;266.0;250.0;975.0;885.0
2019-11;248.0;267.0;792.0;810.0
2019-10;303.0;269.0;948.0;849.0
2019-09;279.0;242.0;876.0;844.0
2019-08;249.0;235.0;806.0;753.0
2019-07;257.0;242.0;818.0;797.0
2019-06;255.0;265.0;852.0;771.0
2019-05;241.0;278.0;886.0;794.0
2019-04;224.0;212.0;855.0;732.0
2019-03;285.0;244.0;812.0;835.0
2019-02;224.0;209.0;698.0;688.0
2019-01;268.0;251.0;852.0;824.0
2018-12;247.0;271.0;841.0;819.0
2018-11;259.0;234.0;839.0;808.0
2018-10;300.0;335.0;841.0;834.0
2018-09;275.0;259.0;865.0;772.0
2018-08;302.0;264.0;775.0;751.0
2018-07;293.0;239.0;805.0;801.0
2018-06;276.0;248.0;804.0;745.0
2018-05;252.0;238.0;831.0;827.0
2018-04;285.0;278.0;748.0;738.0
2018-03;271.0;266.0;806.0;783.0
2018-02;251.0;222.0;674.0;710.0
2018-01;292.0;287.0;848.0;804.0
