Month;Household (HH) Consumption;Food and Beverage;Tobacco;Clothing and Footwear;Housing;Furnishing and HH Equipment;Health;Transport;Communication;Recreation;Education;Restaurants and Hotels;Others
2024-10;109.02;111.23;246;91.87;91.95;104.48;97.47;109.84;109.92;139.33;121.27;107.18;116.51
2024-09;107.82;107.78;246;90.75;92.01;106.29;96.78;110.47;109.45;133.44;120.8;106.03;114.41
2024-07;107.11;107.47;246;91.39;93.09;106.36;96.78;110.99;99.99;130.99;119.24;105.47;112.32
2024-05;107.6;110;246;93.5;94.9;106;97.9;111.3;90.9;131.7;119.2;104.9;112.7
2023-11;108.26;111.57;246;90.98;95.44;106.02;98.46;108.51;105.25;133.97;119.57;106.19;108.71
2023-03;105.55;105.33;246;95.21;98.59;103.9;99.91;112.4;89.49;114.57;113.69;107.15;109.51
2023-01;105.4;108.05;246;94.51;98.14;104.02;99.91;111.54;89.49;108.86;115.52;111.6;109.01
2022-12;108.2;107.93;246;95.03;98.25;105.49;98.52;110.9;90.24;131.44;112.03;119.03;107.89
2022-11;106.86;107.3;246;95.43;98.26;105.38;98.52;109.56;92.11;122.46;112.03;116.88;107.34
2022-06;103.14;106.59;246;89.95;92.04;105.5;98.27;109.09;93.06;110.43;110.8;106.51;109.28
2022-03;101.48;104.23;246;90.76;90.74;104.21;98.32;109.66;94.04;100.83;110.8;104.79;109.88
2021-12;102.14;106.21;246;95.39;87.8;104.5;100.85;110.6;93.39;104.85;110.82;108.13;107.98
2021-11;101.8;106.89;246;95.08;87.35;104.5;100.85;112.34;92.22;99.96;110.82;108.13;107.93
2021-09;99.06;104.8;246;93.16;87.38;104.03;101.49;109.4;91.98;84.72;110.52;106.43;107.46
2021-07;98.73;102.27;246;91.74;87.37;104;101.49;109.36;92.45;85.54;110.49;106.01;107.59
2021-05;98.05;100.87;246;92.22;87.63;104.1;101.46;107.42;93.66;82.57;110.27;106.17;107.06
2021-03;97.18;100.76;246;91.16;88.74;103.76;101.46;107.97;93.75;73.27;110.28;107.63;104.48
2021-02;96.86;100.89;246;90.1;89.04;103.74;101.46;104.07;90.72;76.53;110.27;107.21;105.44
