Month;Total Number of Sold Properties;Doha;Al Rayyan;Al Wakra;Umm Slal;Al Shamal;Al Khor & Al Dhekhra;Al Daayen;Al Sheehaniya
2024-11;324.0;108.0;74.0;38.0;20.0;12.0;31.0;40.0;1.0
2024-10;355.0;118.0;82.0;62.0;36.0;9.0;28.0;20.0;0.0
2024-09;303.0;86.0;74.0;45.0;34.0;12.0;32.0;19.0;1.0
2024-08;249.0;58.0;76.0;34.0;19.0;13.0;33.0;16.0;0.0
2024-07;246.0;70.0;60.0;31.0;47.0;8.0;17.0;13.0;0.0
2024-06;285.0;68.0;83.0;21.0;27.0;11.0;19.0;56.0;0.0
2024-05;322.0;99.0;77.0;44.0;28.0;11.0;18.0;45.0;0.0
2024-04;201.0;33.0;49.0;45.0;22.0;8.0;21.0;23.0;0.0
2024-03;268.0;60.0;60.0;55.0;34.0;10.0;28.0;19.0;2.0
2024-02;350.0;81.0;87.0;60.0;70.0;11.0;32.0;9.0;0.0
2024-01;362.0;121.0;81.0;54.0;45.0;21.0;29.0;11.0;0.0
2023-12;329.0;105.0;66.0;51.0;38.0;12.0;43.0;14.0;0.0
2023-11;321.0;83.0;89.0;41.0;43.0;12.0;38.0;13.0;2.0
2023-10;332.0;64.0;101.0;59.0;32.0;10.0;39.0;26.0;1.0
2023-09;300.0;75.0;72.0;59.0;39.0;16.0;23.0;15.0;1.0
2023-08;297.0;56.0;88.0;35.0;42.0;18.0;39.0;18.0;1.0
2023-07;258.0;61.0;94.0;46.0;22.0;4.0;19.0;12.0;0.0
2023-06;301.0;72.0;64.0;56.0;44.0;11.0;44.0;10.0;0.0
2023-05;337.0;74.0;88.0;63.0;40.0;25.0;30.0;17.0;0.0
2023-03;340.0;82.0;80.0;38.0;79.0;12.0;25.0;23.0;1.0
2023-02;382.0;58.0;101.0;57.0;90.0;16.0;32.0;28.0;0.0
2023-01;225.0;63.0;58.0;31.0;26.0;5.0;28.0;13.0;1.0
2022-12;176.0;43.0;44.0;31.0;19.0;6.0;22.0;11.0;0.0
