Month;Total No. of Vessels;Total Net Tonnage (Thousand Ton)
2024-11;354;5658655
2024-10;385;5339500
2024-09;350;4527462
2024-08;351;4802085
2024-07;352;5483534
2024-06;362;5289
2024-05;361;4859
2024-04;298;4510
2024-03;357;6435068
2024-02;318;6957270
2024-01;359;7210432
2023-12;363;7602570
2023-11;349;5668655
2023-10;402;5461272
2023-09;397;5599
2023-08;384;6543296
2023-07;348;5357984
2023-06;331;5167181
2023-05;352;4910502
2023-04;355;5454236
2023-03;362;7272689
2023-02;331;7472363
2023-01;388;7212444
2022-12;437;6180274
2022-11;410;5028531
2022-10;460;5262109
2022-09;413;4499849
2022-08;419;5208185
2022-07;370;4325681
2022-06;416;5513082
2022-05;353;5517852
2022-04;398;5438611
2022-03;364;5081453
2022-02;340;5683453
2022-01;363;5218971
2021-12;396;5562168
2021-11;365;3660474
2021-10;409;4272271
2021-09;415;4265659
2021-08;385;4656837
2021-07;423;4919843
2021-06;419;4747356
2021-05;435;5380416
2021-04;445;5406313
2021-03;358;5076238
2021-02;334;4822938
2021-01;403;5431463
2020-12;395;5292936
2020-11;433;5019489
2020-10;438;5054084
2020-09;426;4983713
2020-08;371;4606894
2020-07;393;4595605
2020-06;324;4945134
2020-05;321;4466622
2020-04;376;5462578
2020-03;344;4513803
2020-02;422;5937581
2020-01;452;6857906
2019-12;463;6259214
2019-11;491;5751918
2019-10;548;5170294
2019-09;513;5100203
2019-08;701;11795038
2019-07;747;11737165
2019-06;695;12169692
2019-05;772;12422315
2019-04;610;11938994
2019-03;632;12066274
2019-02;697;12012387
2019-01;715;12807493
2018-12;525;6390156
2018-11;522;5298901
2018-10;549;5599448
2018-09;547;5375290
2018-08;532;5573191
2018-07;589;5633325
2018-06;621;5406335
2018-05;669;5191205
2018-04;580;5188746
2018-03;572;5575932
2018-02;544;5090161
2018-01;496;4942241
