Date of Contract;Municipality Name;Zone Name;Real Estate Type;Area in Square Meters;Price per Square Foot;Real Estate Value
2025-02-06;Umm Slal;Umm Al Amad;Vacant Land;482;260;1350000
2025-02-06;Doha;Nuaija 43;Residence;572;374;2300000
2025-02-06;Doha;Al Thumama 46;Vacant Land;928;355;3550000
2025-02-06;Al Rayyan;Muaither 53;Residence;573;397;2450000
2025-02-06;Al Daayen;Simaisma;Vacant Land;426;327;1500000
2025-02-06;Al Daayen;Simaisma;Vacant Land;435;320;1500000
2025-02-06;Al Wakrah;Al Mashaf;Vacant Land;450;248;1200000
2025-02-06;Al Khor and Al Dakhira;Al Khor;Residence;472;295;1500000
2025-02-06;Doha;Al Mansoura;Residence;555;1004;6000000
2025-02-06;Doha;Najma;Residence;242;767;2000000
2025-02-06;Doha;Najma;Residence;399;664;2850000
2025-02-06;Al Rayyan;Al Aziziya;Residence;1821;1071;21000000
2025-02-06;Al Daayen;Al Ebb;Vacant Land;643;289;2000000
2025-02-06;Al Wakrah;Al Wukair;Residence;500;557;3000000
2025-02-06;Al Wakrah;Al Wakrah;Vacant Land;540;298;1734000
2025-02-06;Doha;The Pearl Island;Residential Unit;128;1262.76;1750000
2025-02-06;Al Daayen;Lusail 69;Residential Unit;97;764.24;800000
2025-02-06;Al Daayen;Lusail 69;Residential Unit;124;1130.39;1509000
2025-02-06;Doha;Legtaifiya;Residence;1225;394;5200000
2025-02-06;Al Rayyan;Muaither 55;Vacant Land;698;386;2900000
2025-02-06;Al Daayen;Rawdat Al Hamama;Vacant Land;1470;338;5350000
2025-02-06;Al Daayen;Simaisma;Vacant Land;427;326;1500000
2025-02-05;Umm Slal;Umm Slal Ali;Vacant Land;588;250;1582308
2025-02-05;Doha;Al Sadd 38;Residence;2387;895;23000000
2025-02-05;Doha;Nuaija 43;Residence;764;1319;10850000
2025-02-05;Doha;Al Thumama 50;Residence;454;491;2400000
2025-02-05;Al Rayyan;Bu Hamour;Residence;450;495;2400000
2025-02-05;Al Shamal;Al Ruwais;Vacant Land;450;165;800000
2025-02-05;Doha;Najma;Residence;137;712;1050000
2025-02-05;Doha;Al Thumama 46;Residence;450;723;3500000
2025-02-05;Al Daayen;Al Sakhama;Vacant Land;490;304;1605000
2025-02-05;Al Wakrah;Al Wakrah;Residence;523;355;2000000
2025-02-05;Al Wakrah;Al Wakrah;Residence;523;320;1800000
2025-02-05;Doha;Legtaifiya;Residential Unit;137;907.51;1345000
2025-02-05;Doha;The Pearl Island;Residential Unit;182;1124.66;2210878
2025-02-05;Doha;Najma;Residence;144;774;1200000
2025-02-05;Doha;Al Thumama 50;Vacant Land;578;300;1866000
2025-02-05;Al Rayyan;Muaither 53;Vacant Land;500;303;1630000
2025-02-05;Al Shamal;Madinat Al Shamal;Residence;732;233;1833333
2025-02-05;Al Daayen;Jeryan Jenaihat;Vacant Land;600;279;1800000
2025-02-04;Doha;The Pearl Island;Residential Unit;123;1125.82;1500000
2025-02-04;Doha;The Pearl Island;Residential Unit;184;1258.37;2500000
2025-02-04;Doha;New Slata;Vacant Land;639;371;2550000
2025-02-04;Doha;Al Thumama 50;Residence;577;580;3600000
2025-02-04;Al Rayyan;Ain Khalid;Residence;701;689;5200000
2025-02-04;Al Daayen;Umm Qarn;Vacant Land;640;282;1942000
2025-02-04;Doha;The Pearl Island;Residential Unit;87;1171.14;1100000
2025-02-04;Doha;The Pearl Island;Residential Unit;223;1158.08;2784780
2025-02-04;Doha;Al Mansoura;Residence;483;720;3743290
2025-02-04;Doha;Fereej Abdel Aziz;Residence;254;834;2279000
2025-02-04;Doha;Umm Ghuwailina;Residential Building;344;884;3275000
2025-02-04;Al Rayyan;Gharrafat Al Rayyan;Residence;500;404;2175000
2025-02-04;Al Rayyan;Fereej Al Murrah;Residence;776;467;3900000
2025-02-04;Doha;The Pearl Island;Residential Unit;176;1239.76;2350000
2025-02-04;Doha;The Pearl Island;Residential Unit;233;1152.3;2900000
2025-02-04;Doha;Fereej Abdel Aziz;Residence;204;774;1700000
2025-02-04;Al Rayyan;Al Aziziya;Residence;1821;944;18500000
2025-02-03;Al Daayen;Lusail 69;Residential Unit;131;1128.03;1600200
2025-02-03;Al Daayen;Lusail 69;Residential Unit;70;1251.88;950000
2025-02-03;Al Rayyan;Mesaimeer;Residential Building and  Shops;1200;1951;25200000
2025-02-03;Al Rayyan;Muaither 53;Residence;410;385;1700000
2025-02-03;Al Shamal;Madinat Al Shamal;Residence;1062;240;2743000
2025-02-03;Al Wakrah;Al Wakrah;Vacant Land;1168;266;3350000
2025-02-03;Doha;The Pearl Island;Residential Unit;74;1421.22;1140000
2025-02-03;Doha;The Pearl Island;Residential Unit;152;992.21;1630200
2025-02-03;Doha;The Pearl Island;Residential Unit;132;983.92;1400000
2025-02-03;Al Rayyan;Muaither 55;Vacant Land;693;255;1900000
2025-02-03;Al Rayyan;Mebaireek;Residence;1164;200;2500000
2025-02-03;Al Rayyan;Muraikh;Residence;550;794;4700000
2025-02-03;Al Wakrah;Al Wukair;Residence;630;575;3900000
2025-02-03;Al Wakrah;Al Wakrah;Vacant Land;497;209;1116031
2025-02-03;Al Wakrah;Al Mashaf;Vacant Land;450;217;1050000
2025-02-03;Doha;The Pearl Island;Residential Unit;75;1299.26;1050000
2025-02-03;Doha;The Pearl Island;Residential Unit;137;1227.14;1812649
2025-02-03;Doha;Al Sadd 38;Residence;599;807;5200000
2025-02-03;Al Rayyan;Muaither 55;Residence;758;552;4500000
2025-02-03;Al Daayen;Jeryan Jenaihat;Residence;382;540;2220000
2025-02-02;Doha;The Pearl Island;Residential Unit;156;1362.87;2296847
2025-02-02;Doha;The Pearl Island;Residential Unit;123;1148.34;1530000
2025-02-02;Umm Slal;Umm Slal Ali;Residence;400;448;1930000
2025-02-02;Umm Slal;Al Kharaitiyat;Residence;808;437;3800000
2025-02-02;Umm Slal;Umm Slal Ali;Residence;611;547;3600000
2025-02-02;Doha;Umm Ghuwailina;Residence;216;645;1500000
2025-02-02;Doha;Al Markhiya;Vacant Land;1777;418;8000000
2025-02-02;Doha;Old Al Ghanim 16;Shops;507;1008;5500000
2025-02-02;Al Daayen;Lusail 69;Residential Unit;115;806.1;1000000
2025-02-02;Doha;The Pearl Island;Residential Unit;193;1177.94;2450000
2025-02-02;Al Rayyan;Bu Hamour;Vacant Land;2188;270;6350000
2025-02-02;Al Shamal;Al Ruwais;Vacant Land;806;127;1100000
2025-02-02;Umm Slal;Al Kharaitiyat;Vacant Land;450;310;1500000
2025-02-02;Al Khor and Al Dakhira;Al Khor;Vacant Land;491;250;1321281
2025-02-02;Doha;Al Markhiya;Vacant Land;1381;538;8000000
2025-02-02;Al Rayyan;Bu Hamour;Vacant Land;2100;281;6350000
2025-02-02;Al Rayyan;Ain Khalid;Vacant Land;569;318;1950000
2025-02-02;Al Rayyan;Fereej Al Soudan 54;Residence;540;396;2300000
2025-02-02;Al Shamal;Madinat Al Shamal;Residence;1360;178;2600000
2025-02-02;Al Daayen;Umm Qarn;Residence;499;572;3070000
2025-02-02;Al Wakrah;Al Wukair;Vacant Land;591;314;2000000
2025-02-02;Al Wakrah;Al Mashaf;Vacant Land;845;228;2075000
2025-01-30;Al Khor and Al Dakhira;Al Khor;Vacant Land;516;360;2000000
2025-01-30;Doha;Al Sadd 38;Vacant Land;481;1381;7150000
2025-01-30;Doha;New Slata;Residence;498;410;2200000
2025-01-30;Al Rayyan;Muraikh;Residence;550;794;4700000
2025-01-30;Al Daayen;Lusail 69;Residential Unit;79;947.28;815000
2025-01-30;Doha;The Pearl Island;Residential Unit;73;1393.8;1100000
2025-01-30;Doha;The Pearl Island;Residential Unit;87;1334.3;1260000
2025-01-30;Doha;The Pearl Island;Residential Unit;87;1392.54;1315000
2025-01-30;Doha;Al Thumama 50;Vacant Land;571;330;2028312
2025-01-30;Doha;Madinat Khalifa South;Vacant Land;592;628;4000000
2025-01-30;Al Rayyan;Muaither 53;Residence;753;419;3400000
2025-01-30;Al Daayen;Umm Qarn;Vacant Land;759;277;2260000
2025-01-30;Al Wakrah;Al Wukair;Vacant Land;700;484;3650000
2025-01-30;Al Wakrah;Al Wukair;Vacant Land;759;225;1838000
2025-01-30;Al Wakrah;Al Wakrah;Vacant Land;593;290;1851000
2025-01-30;Al Wakrah;Al Wakrah;Vacant Land;600;290;1873000
2025-01-30;Al Daayen;Lusail 69;Residential Unit;47;1174.88;605000
2025-01-30;Doha;The Pearl Island;Residential Unit;134;1335.69;1936764
2025-01-30;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;465;300;1500000
2025-01-30;Doha;New Slata;Residence;592;377;2400000
2025-01-30;Al Rayyan;Muraikh;Residence;550;456;2700000
2025-01-30;Al Rayyan;Lebday;Residence;614;227;1500000
2025-01-30;Al Rayyan;Ain Khalid;Vacant Land;605;392;2550000
2025-01-30;Al Daayen;Al Kheesa;Vacant Land;600;372;2400000
2025-01-30;Al Wakrah;Al Wakrah;Residence;628;577;3900000
2025-01-30;Al Wakrah;Al Wakrah;Vacant Land;1267;367;5000000
2025-01-30;Doha;Legtaifiya;Residential Unit;77;1357.92;1130000
2025-01-30;Doha;The Pearl Island;Residential Unit;177;1360.14;2600000
2025-01-30;Doha;Legtaifiya;Residential Unit;124;929.03;1247200
2025-01-30;Doha;The Pearl Island;Residential Unit;396;1474.95;6300000
2025-01-29;Doha;Al Thumama 46;Vacant Land;884;368;3500000
2025-01-29;Doha;Old Airport;Residence;450;427;2070000
2025-01-29;Al Rayyan;Mebaireek;Residence;1164;160;2000000
2025-01-29;Al Shamal;Aba Al Dalouf;Vacant Land;1103;120;1424000
