Month;Total New Driving Licenses;Qatari;Non Qatari
2024-10;9734;665;9069
2024-04;6188;380;5808
2024-01;10968;635;10333
2023-10;9276;556;8720
2023-09;9187;644;8543
2023-07;8505;615;7890
2023-06;9123;684;8439
2022-10;13383;770;12613
2021-10;8721;621;8100
2021-06;6094;653;5441
2021-02;5514;528;4986
2020-08;3906;509;3397
2020-07;1579;893;686
2020-04;105;38;67
2019-12;7563;445;7118
2019-10;8998;565;8433
2019-08;5558;366;5192
2019-06;5736;327;5409
2018-11;7851;451;7400
2018-10;8202;455;7747
2018-08;5756;573;5183
2018-05;8854;516;8338
2018-04;8568;552;8016
2018-03;8561;639;7922
2018-01;9260;751;8509
2024-08;7928;757;7171
2024-07;7883;702;7181
2024-06;6751;468;6283
2024-03;7936;430;7506
2023-04;6580;359;6221
2023-03;9595;542;9053
2023-02;8415;412;8003
2022-05;9963;424;9539
2022-04;7542;492;7050
2022-03;9190;705;8485
2022-01;7296;516;6780
2021-12;7551;560;6991
2021-11;8896;567;8329
2021-08;7791;864;6927
2021-07;5020;557;4463
2021-05;884;201;683
2021-01;7400;551;6849
2020-12;7600;571;7029
2020-10;6913;636;6277
2020-06;863;229;634
2020-05;165;19;146
2020-03;4747;311;4436
2019-11;8090;523;7567
2019-09;8228;618;7610
2019-01;8244;514;7730
2018-07;8660;690;7970
2018-06;5165;379;4786
2024-11;7703;582;7121
2024-09;9869;795;9074
2024-05;10130;584;9546
2024-02;8987;509;8478
2023-12;8871;546;8325
2023-11;9687;650;9037
2023-08;9285;636;8649
2023-05;11557;568;10989
2023-01;10068;581;9487
2022-12;3284;546;2738
2022-11;3767;463;3304
2022-09;11264;805;10459
2022-08;12467;749;11718
2022-07;8882;498;8384
2022-06;14433;936;13497
2022-02;8284;586;7698
2021-09;8285;740;7545
2021-04;827;197;630
2021-03;5073;553;4520
2020-11;8194;657;7537
2020-09;6171;755;5416
2020-02;7229;450;6779
2020-01;8387;537;7850
2019-07;7691;722;6969
2019-05;8383;462;7921
2019-04;8418;524;7894
2019-03;8230;459;7771
2019-02;7111;405;6706
2018-12;6827;459;6368
2018-09;7432;557;6875
2018-02;7740;702;7038
